ResponseId,Age,Gender ,Postcode,Edu Level,Risk Perception,WillCOV,WillPf,WillAsZ ,VAX,BIS,BAS,Frame
R_02sPkegbwykWfDj,58,1,4304,3,1,1,1,1,6,2.142857143,2.461538462,Negative
R_1riBQvscOHpKUWw,34,1,3978,3,3,4,3,4,4.333333333,3,3.384615385,Positive
R_28D2IdTqdgqWZ25,34,1,5006,6,4,4,4,3,2.333333333,3.285714286,3.076923077,Negative
R_1S13LpvmYMkHzRD,35,1,2143,4,2,1,1,1,4.833333333,3.285714286,3,Positive
R_32604t49r6UjQu9,54,1,2044,4,4,4,5,2,3.5,2.428571429,2.461538462,Positive
R_32SlnbUlqDxRISN,71,1,4880,2,3,5,5,5,3.916666667,2.142857143,2.923076923,Negative
R_BXvWUSg5ygtF9w5,34,1,2289,2,1,1,1,1,6,2.428571429,2.461538462,Positive
R_25Lpur6k8nkL6Lz,18,1,2611,2,1,5,5,5,2.916666667,3.142857143,2.769230769,Positive
R_2hQnZ5LGXi8JylX,19,1,2134,2,3,4,4,3,2.916666667,3.285714286,2.692307692,Negative
R_2UWVQ2nRKvIi9hk,56,1,2190,2,4,3,4,2,3.166666667,2.857142857,2.692307692,Negative
R_2qaaiGcKnvyKFcM,41,1,3028,5,4,4,4,4,3.75,3.285714286,3.692307692,Positive
R_2v9byg7LE9ReuWR,36,1,2060,4,3,4,5,1,3.5,2.571428571,2.615384615,Positive
R_3nI5HA4IvIbL5HA,59,1,2534,3,2,5,5,5,2.583333333,2.571428571,3.076923077,Negative
R_3PTXJfQvIeFa7vO,58,1,3199,3,2,5,5,3,3.5,2.142857143,2.461538462,Positive
R_32JBKPcwtuTLSrv,63,1,6210,4,5,4,5,1,3.083333333,2.857142857,2.538461538,Negative
R_1NESllPhbHZbMgG,33,1,3149,5,3,5,4,1,2.666666667,2.857142857,2.230769231,Positive
R_3lKf1KCmFdNascN,39,2,3001,4,2,3,4,4,2.25,2.428571429,3,Positive
R_2dWqSr4Tkojkhxr,77,1,5109,2,1,1,1,1,6,2.714285714,2.538461538,Negative
R_1QlLwpT7zrWR5iZ,83,1,2226,3,2,4,5,3,4.416666667,2.714285714,2.307692308,Negative
R_3iDc4uAcnLMvMVf,72,1,7262,3,3,3,5,2,3.583333333,2.285714286,3.153846154,Negative
R_2aRKgmaXqwZE1JI,65,1,6069,1,5,3,4,2,4.166666667,2.714285714,1.846153846,Negative
R_3JlnatLXsm6071s,73,1,4551,3,5,5,5,3,3.5,3.142857143,2.769230769,Negative
R_1JXj0ngrC5DRbPh,71,2,2232,4,3,1,1,1,5.833333333,2.857142857,2.384615385,Positive
R_40EjAONuaNOtcrv,71,2,6163,3,2,4,4,4,4.416666667,3,2.769230769,Positive
R_1r0Ny8PMfisSWNv,67,2,4551,1,5,5,5,1,1.916666667,3.571428571,2.615384615,Negative
R_2cBY3zGDpqoC5Zu,72,2,4701,3,5,3,3,1,3,2.571428571,1.923076923,Negative
R_3EW5hs9zmin7JJS,74,2,3167,2,4,2,2,1,4.75,2.571428571,3.076923077,Positive
R_6g8eH5cGjHy0fbb,74,2,7310,3,4,4,5,1,2.666666667,2.857142857,2.076923077,Positive
R_1OitHcSBQl07gZ9,80,2,7277,1,5,3,5,1,3.083333333,3,1.769230769,Negative
R_ePOgSNZpqJC3FO9,49,2,6103,3,3,2,4,1,4.666666667,3.428571429,2.769230769,Negative
R_SVNXmwu5kBfFRNT,73,2,2768,1,5,3,3,3,3.75,2,2.461538462,Positive
R_3lY1EBfzLBfmq6R,70,2,3186,5,4,4,4,2,3.166666667,3,3,Positive
R_3qkE8Ueqm1Q7Bhx,70,2,3175,3,5,1,1,1,6,2.714285714,2.769230769,Negative
R_1NwZv88cO4GzvlF,65,2,4680,3,4,4,4,3,4.833333333,1.857142857,3.615384615,Negative
R_2q8Jnmg5s3sjgby,76,2,2352,1,3,4,4,3,3.666666667,2.857142857,3.230769231,Positive
R_3nOzyXkYumgE6pG,71,2,6112,3,3,3,3,2,4.25,2.857142857,3.615384615,Positive
R_12SBI3zaQ48fltE,67,2,4814,4,4,2,4,1,3.666666667,3,2.923076923,Negative
R_1pmawJadTtqG2zs,68,2,5095,1,4,3,3,3,3.25,2.285714286,3,Negative
R_BtvaXBZG1kJCzDj,37,2,3064,3,3,3,5,1,3.25,3,2.307692308,Positive
R_10O9oNsh4shY3wC,49,1,2486,3,3,3,4,3,3.083333333,2.571428571,3.076923077,Positive
R_25tH0il732MInvg,59,1,4519,4,4,5,3,5,4.25,3.428571429,2.923076923,Positive
R_3BNpjS3zFkE6xm9,44,1,4125,2,1,1,1,1,6,2.714285714,3,Positive
R_32OUjaIhPtwTo9V,47,1,3134,2,2,1,1,1,4.333333333,1.857142857,3.384615385,Positive
R_3kwe0IQ4Pt0xkdx,40,1,3644,3,3,4,4,4,2.333333333,3.142857143,2.769230769,Positive
R_SIhq8kR0TkSGJXz,51,1,2205,5,4,5,5,3,2.083333333,3.428571429,3.153846154,Positive
R_RsKJmjylAmHhQ2Z,48,1,4209,3,3,5,5,4,2,2.285714286,2.615384615,Positive
R_1CycqkygOaHM6Zm,46,1,6059,4,3,5,5,4,2.583333333,2.714285714,3.307692308,Positive
R_2zUz2eags7txs7N,46,1,3000,4,3,5,5,4,1.75,3.285714286,2.769230769,Positive
R_33rjBp0XURa7RJ8,42,1,2560,2,4,4,4,3,2.666666667,2.142857143,3.153846154,Positive
R_8J8HHVJOqbhbHgd,61,1,4055,5,2,2,5,1,4.416666667,1.714285714,2.076923077,Positive
R_zVAduUELm7zbptf,59,1,4720,1,5,3,3,2,3.416666667,3.285714286,3,Positive
